a_doob_martingale_combinatorial | axiom | Doob martingale (combinatorial)
s_semisimple_direct_sum_of_simples | theorem | Semisimple Lie algebra is a direct sum of simple ideals
s_sensitivity_boolean | axiom | Sensitivity of a Boolean function
s_separation_properties_tvs | theorem | Separation properties of topological vector spaces
s_sequence_of_connections_with_L_2_bounded_curvature | axiom | sequence of connections with L 2 bounded curvature
s_sequence_of_measurable_events | axiom | sequence of measurable events
s_sequence_of_uniformly_absolutely_continuous_measures | axiom | sequence of uniformly absolutely continuous measures
s_shannon_entropy_of_partition | state | Shannon entropy of a partition
s_shannon_mcmillan_breiman | theorem | Shannon-McMillan-Breiman theorem
s_sharps_analytic_determinacy_equivalence | state | Sharps and analytic determinacy equivalence
s_sheaf_cohomology_of_L_lambda | state | sheaf cohomology of L lambda
s_sheaf_property_distributions | theorem | Sheaf property of distributions
s_shelah_inaccessible_necessary | theorem | Inaccessible necessary for all sets Lebesgue measurable (Shelah)
s_shoenfield_absoluteness | theorem | Shoenfield absoluteness theorem
s_shoenfield_tree_with_absolute_wellfoundedness | state | shoenfield tree with absolute wellfoundedness
s_siegel_lemma_l_function_products | theorem | Siegel's lemma on L-function products
s_siegel_theorem_l_functions | theorem | Siegel's theorem on L(1,χ)
s_sigma_1_1_as_wellfoundedness | state | sigma 1 1 as wellfoundedness
s_sigma_1_2_as_tree_projection | state | sigma 1 2 as tree projection
s_sigma_1_2_formula | state | sigma 1 2 formula
s_sigma_1_2_normal_form | state | sigma 1 2 normal form
s_sigma_1_2_set_of_reals | axiom | sigma 1 2 set of reals
s_sigma_algebra | axiom | σ-algebra
s_sigma_algebra_generated | axiom | sigma algebra generated
s_sigma_algebra_generated_by_rv | state | σ-algebra generated by a random variable
s_sigma_algebra_of_measurable_sets | state | sigma algebra of measurable sets
s_sigma_compact_space | axiom | Sigma-compact space
s_sigma_discrete_basis_present | state | sigma discrete basis present
s_sigma_finite_measure_space | axiom | sigma finite measure space
s_sigma_finite_signed_measure | axiom | sigma finite signed measure
s_sigma_infty_CP_infty_bott_inverted | state | sigma infty CP infty bott inverted
s_sigma_locally_finite_basis | axiom | sigma locally finite basis
s_sigma_locally_finite_basis_present | state | sigma locally finite basis present
s_sigma_multiplicative | state | sigma multiplicative
s_sigma_n_projectum | state | Σ_n-projectum ρ_n
s_signed_measure_on_measurable_space | axiom | signed measure on measurable space
s_silver_indiscernibles | state | Silver indiscernibles
s_silver_indiscernibles_in_L | state | silver indiscernibles in L
s_silver_indiscernibles_theorem | theorem | Silver indiscernibles theorem
s_silver_singular_cardinals_theorem | theorem | Silver's theorem on singular cardinals
s_silver_theorem | theorem | Silver's theorem
s_simple_reflections_generate_weyl_group | theorem | Simple reflections generate the Weyl group
s_simply_connected_proper_domain_in_C | axiom | Simply connected proper domain in ℂ
s_singular_cardinal | axiom | Singular cardinal
s_singular_cardinal_hypothesis | state | Singular Cardinal Hypothesis (SCH)
s_singular_cardinal_kappa_of_uncountable_cofinality | axiom | singular cardinal kappa of uncountable cofinality
s_singular_plus_absolutely_continuous_split | state | singular plus absolutely continuous split
s_sle_kappa_driver | state | sle kappa driver
s_small_forcing_P_below_kappa | axiom | small forcing P below kappa
s_smooth_functions_dense_in_W1p | state | smooth functions dense in W1p
s_smoothing_property_heat | theorem | Smoothing property of the heat equation
s_snake_lemma_applied_to_homology | state | snake lemma applied to homology
s_solovay_RVM_theorem | theorem | Solovay's theorem on real-valued measurable cardinals
s_solovay_model | theorem | Solovay's model (every set Lebesgue-measurable)
s_solovay_stationary_splitting | theorem | Solovay's stationary splitting theorem
s_solvable_action_on_proper | state | solvable action on proper
s_some_iterates_must_overlap_in_measure | state | some iterates must overlap in measure
s_space_time_L_q_t_L_r_x_bound | state | space time L q t L r x bound
s_spanning_tree | axiom | Spanning tree
s_sparse_ramsey_theorem | theorem | Rodl-Rucinski sparse Ramsey theorem
s_special_aronszajn_tree | state | Special Aronszajn tree
s_spectral_decomposition_l2_gamma_h | theorem | Spectral decomposition of L²(Γ\H)
s_spectral_sequence_collapse | state | Collapsing of a spectral sequence
s_spectral_sequence_filtered_complex | state | Spectral sequence of a filtered complex
s_spencer_six_sigma_theorem | theorem | Spencer's six standard deviations
s_splitting_lemma_modules | theorem | Splitting Lemma for Modules
s_square_function_S_f | state | square function S f
s_square_holds_in_L | theorem | □_κ holds in L (Jensen)
s_square_matrix_over_ring | axiom | square matrix over ring
s_square_matrix_with_char_poly | state | square matrix with char poly
s_square_principle | axiom | Square principle □_κ (Jensen)
s_square_step_set | axiom | square step set
s_stanley_hook_content_formula_plane_partitions | theorem | Stanley's hook content formula for column-strict plane partitions
s_state_space_collapse_petite | theorem | Compact sets are petite for T-chains
s_stationary_GCH_carrier | state | stationary GCH carrier
s_stationary_distribution | state | stationary distribution
s_stationary_increments_process | axiom | Stationary increments
s_stationary_phase_method | theorem | stationary phase method
s_stationary_phase_point | state | stationary phase point
s_stationary_process | axiom | Stationary process
s_stationary_renewal_coupling | state | stationary renewal coupling
s_stationary_subset_of_kappa | axiom | stationary subset of kappa
s_stein_lemma_gaussian | theorem | Stein's Lemma (Gaussian integration by parts)
s_stern_brocot_tree | axiom | Stern–Brocot tree
s_stone_cech_universal_property | theorem | Universal property of Stone-Čech compactification
s_stopped_sigma_algebra | state | Stopped σ-algebra
s_stopped_submartingale_at_tau | state | stopped submartingale at tau
s_strassen_functional_lil | theorem | Functional Law of the Iterated Logarithm (Strassen)
s_strong_exchange_property | theorem | Strong exchange property
s_strong_feller_property | axiom | Strong Feller property
s_strong_markov_property_bm | theorem | Strong Markov property of Brownian motion
s_strong_markov_property_mc | theorem | Strong Markov property for Markov chains
s_strong_markov_property_rw | theorem | Strong Markov property for random walks
s_strong_ramsey_independence | theorem | Ramsey-type Paris–Harrington-style independence (general PA-unprovable)
s_strong_subtree_template | state | strong subtree template
s_strong_unique_continuation_property | theorem | Strong unique continuation property
s_strongly_compact_cardinal | state | Strongly compact cardinal
s_strongly_measurable_function | axiom | Strongly measurable function
s_structural_property_loss | state | structural property loss
s_submartingale | axiom | Submartingale
s_submartingale_X_n | axiom | submartingale X n
s_successor_cardinals_regular | theorem | Successor cardinals are regular
s_successor_ordinal | state | successor ordinal
s_sunflower_lemma_erdsko | theorem | Sunflower lemma (Erdős-Ko)
s_supercompact_cardinal | state | supercompact cardinal
s_supermartingale | state | supermartingale
s_supermartingale_convergence_for_V_n | state | supermartingale convergence for V n
s_suslin_problem | state | Suslin's problem (Suslin Hypothesis)
s_suslin_space | axiom | Suslin space (analytic space)
s_suslin_tree | state | Suslin tree
s_suslin_tree_line_equivalence | theorem | Equivalence of Suslin tree and Suslin line
s_symbolic_power_of_a_prime | axiom | Symbolic power of a prime ideal
s_symmetric_groups_Sigma_n | axiom | symmetric groups Sigma n
s_symmetric_power_l_functions | state | symmetric power l functions
s_symmetric_square_l_function | axiom | Symmetric square L-function L(sym²f, s)
s_t_intersecting_family_property | axiom | t intersecting family property
s_tail_sigma_algebra | axiom | Tail σ-algebra
s_taniyama_shimura_conjecture | state | taniyama_shimura_conjecture
s_teichmuller_pullback_map_sigma_f | state | teichmuller pullback map sigma f
s_ten_martini_theorem | theorem | Avila–Damanik almost Mathieu spectrum (Ten Martini Problem)
s_tensor_product_universal_property | theorem | Tensor product universal property
s_theorema_egregium | theorem | Theorema Egregium
s_three_nonneg_measurable_functions_with_log_concave_constraint | axiom | three nonneg measurable functions with log concave constraint
s_three_property_axiom_definition | state | three property axiom definition
s_three_term_AP_free_property | axiom | three term AP free property
s_threshold_phenomenon | theorem | Threshold phenomenon for monotone properties
s_tournament_domination_bound | theorem | Tournament dominating set bound
s_tower_property | theorem | Tower property of conditional expectation
s_trace_on_smooth_dense_subset | state | trace on smooth dense subset
s_tracial_ultrapower_target | state | tracial ultrapower target
s_trajectory_partition_of_A | state | trajectory partition of A
s_tree_branch_level_height | state | Branch, level, and height of a tree
s_tree_decomposition | axiom | Tree-decomposition
s_tree_graph | axiom | Tree (graph theory)
s_tree_of_height_omega_1 | axiom | tree of height omega 1
s_tree_of_models_decomposition | state | tree of models decomposition
s_tree_on_a_set_body | state | Tree on a set and its body [T]
s_tree_property_for_kappa | state | tree property for kappa
s_tree_representation_of_analytic_set | state | tree representation of analytic set
s_tree_set_theoretic | axiom | Tree (set-theoretic)
s_tree_structured_lz_parsing | state | LZ78 phrase / dictionary tree
s_tree_width | axiom | Tree-width
s_tree_width_decomposition | state | Tree-width decomposition
s_tree_width_duality | theorem | Tree-width duality theorem (Seymour–Thomas)
s_triangle_free_graph_property | axiom | triangle free graph property
s_trichotomy_of_cardinals | theorem | Trichotomy of cardinals
s_twisted_l_function | axiom | Twisted L-function L(f⊗χ, s)
s_two_cardinal_model_M | state | two cardinal model M
s_two_kappa_sized_models_distinct | state | two kappa sized models distinct
s_two_nonempty_measurable_subsets_of_Rn | axiom | two nonempty measurable subsets of Rn
s_two_point_interpolation_property | state | two point interpolation property
s_two_real_series_one_absolutely_convergent | axiom | two real series one absolutely convergent
s_two_square_theorem_via_theta | theorem | Two-square theorem via theta functions
s_type_class_partition | state | type class partition
s_type_of_cm_ring | state | Type of a Cohen-Macaulay ring
s_typical_set_properties | theorem | Properties of the typical set
s_ultrafilter | state | ultrafilter
s_ultrafilter_limit_in_product | state | Ultrafilter limit in ∏Xᵢ
s_ultrafilter_on_index_set | axiom | ultrafilter on index set
s_ultrafilter_on_variable_words | state | ultrafilter on variable words
s_ultrafilter_spectrum_Spec_B | state | ultrafilter spectrum Spec B
s_ultrapower_embedding_j | state | ultrapower embedding j
s_ultrapower_of_hyperfinite_R_omega | axiom | ultrapower of hyperfinite R omega
s_ultrapowers_M_U_N_U | state | ultrapowers M U N U
s_uncountable_partition_target | state | uncountable partition target
s_uniform_integrability_of_Lp_martingale | state | uniform integrability of Lp martingale
s_uniformly_integrable_martingale | axiom | uniformly integrable martingale
s_unique_factorization_ideals_dedekind | theorem | Unique factorization of ideals in Dedekind domains
s_unique_irreducible_quotient_L_lambda | state | unique irreducible quotient L lambda
s_universal_property_completion | theorem | Universal property of completion
s_universal_property_enveloping_algebra | theorem | Universal property of the enveloping algebra
s_universal_property_of_free_groups | theorem | Universal property of free groups
s_universal_property_of_the_exterior_algebra | theorem | Universal property of the exterior algebra
s_universal_property_of_the_symmetric_algebra | theorem | Universal property of the symmetric algebra
s_universal_property_of_the_tensor_algebra | theorem | Universal property of the tensor algebra
s_universal_property_product_topology | theorem | Universal property of product topology
s_universal_property_quotient_topology | theorem | Universal property of quotient topology
s_universal_property_via_hom | state | universal property via hom
s_v_l_axiom_of_constructibility | state | V = L (axiom of constructibility)
s_valuation_ring_of_an_absolute_value | state | Valuation ring of an absolute value
s_valuative_criterion_properness | theorem | Valuative criterion of properness
s_vanishing_ideal | state | vanishing_ideal
s_vaught_two_cardinal | theorem | Vaught's two-cardinal theorem
s_verma_module_M_lambda | state | verma module M lambda
s_vertex_coloring_proper | axiom | Proper vertex coloring
s_vitali_nonmeasurable_set | state | Non-Lebesgue-measurable set (Vitali set)
s_wadge_hierarchy_theorem | theorem | Wadge hierarchy / antichain structure
s_weakly_compact_cardinal | state | Weakly compact cardinal
s_weakly_compact_tree_property | theorem | Tree property characterization of weak compactness
s_weierstrass_product_for_completed_l_function | state | Weierstrass product for completed L-function
s_weierstrass_sigma_function | axiom | Weierstrass Sigma Function sigma(z)
s_weil_differential_repartition | axiom | Weil differential (repartition)
s_well_founded_tree_rank | state | Well-founded tree and its rank
s_wellfounded_tree_T_x | state | wellfounded tree T x
s_wellfoundedness_absolute_for_transitive_models | state | wellfoundedness absolute for transitive models
s_whittaker_function_m_kappa_mu | state | Whittaker Function M_{kappa,mu}(z)
s_whittaker_function_w_kappa_mu | state | Whittaker Function W_{kappa,mu}(z)
s_wiener_inversion_theorem | theorem | Wiener's theorem on Fourier series (absolute convergence)
s_wiener_lemma_katznelson | theorem | Wiener's lemma (absolutely convergent Fourier series)
s_woodin_cardinal | state | Woodin cardinal
s_z_l_extension | state | ℤ_ℓ-extension
s_zero_free_region_l_functions | theorem | Classical zero-free region for L-functions
s_zeta_product_sigma_series | state | ζ(s)ζ(s−1) = ∑ σ(n)/nˢ
s_zfc_axioms | axiom | ZFC axioms
s_zfc_axioms_2 | axiom | zfc_axioms
s_zonal_polynomials | axiom | Zonal Polynomials Z_kappa(T)
s_zorns_lemma_implies_maximal_ideals_exist | theorem | Zorn's lemma implies maximal ideals exist
s_zygmund_L_log_L_theorem | theorem | Zygmund's L log L theorem for conjugate function
t_absoluteness | technique | Absoluteness
t_arnoldi_iteration | technique | Arnoldi Iteration
t_azuma_hoeffding_technique | technique | Azuma-Hoeffding technique
t_boolean_truth_value | technique | Boolean truth value ‖φ‖
t_canonical_names | technique | Canonical names (x̌, Ġ)
t_cauchy_filter_completion_construction | technique | Cauchy filter completion construction
t_chain_partition | technique | Chain partition technique
t_cofinal_subnet_extraction | technique | Cofinal subnet extraction
t_cohen_forcing | technique | Cohen forcing
t_cohen_macaulay_approximation | technique | Cohen-Macaulay approximation
t_comma_category_construction | technique | Comma category construction technique
t_contraction_iteration_technique | technique | Contraction iteration technique
t_countable_support_iteration | technique | Countable-support iteration
t_duality_lemma_random_walk | technique | Duality lemma for random walks
t_durfee_square_decomposition | technique | Durfee square decomposition
t_edge_exposure_martingale | technique | Edge exposure martingale
t_ehrenfeucht_mostowski_models | technique | Ehrenfeucht–Mostowski models
t_exhaustion_sigma_finite | technique | Exhaustion technique (σ-finite decomposition)
t_fatou_lemma_technique | technique | Fatou's lemma technique
t_filter_argument_compactness | technique | Filter argument for compactness
t_finite_support_iteration | technique | Finite-support iteration
t_force_independence | technique | Force independence
t_forcing_technique | technique | forcing technique
t_fourier_analysis_boolean | technique | Fourier analysis on the Boolean cube
t_gamma_function_technique | technique | Gamma function technique
t_generic_chaining | technique | generic chaining
t_generic_point_argument | technique | Generic point argument
t_gluing_via_partition_of_unity | technique | Smooth maps into Euclidean space (gluing lemma)
t_graph_property_testing | technique | Graph property testing
t_help_lemma | technique | HELP lemma (homotopy extension and lifting property)
t_homogeneous_tree | technique | Homogeneously Suslin set / homogeneous tree
t_horseshoe_lemma_application_dimension_shifting | technique | Horseshoe lemma application in dimension shifting
t_horseshoe_lemma_construction | technique | Horseshoe lemma construction
t_hua_iterative_squaring | technique | Hua’s lemma proof by iterative squaring
t_ideal_arithmetic | technique | ideal_arithmetic
t_ideal_norm_reduction | technique | Ideal norm reduction
t_inverse_iteration | technique | Inverse Iteration
t_iterated_forcing | technique | iterated forcing
t_iterated_ultrapowers | technique | Iterated ultrapowers
t_kalman_filter | technique | Kalman filter
t_lanczos_iteration | technique | Lanczos Iteration
t_levy_collapse | technique | Lévy collapse Coll(ω,κ)
t_lovasz_local_lemma_technique | technique | Lovasz Local Lemma technique
t_major_arc_approximation_via_l_functions | technique | Major arc approximation via L-functions
t_martingale_convergence_technique | technique | Martingale technique for proving convergence
t_martingale_method_cinlar | technique | Martingale method
t_miller_rabin_test | technique | miller_rabin_test
t_moser_iteration | technique | Moser iteration technique
t_nakayamas_lemma_argument | technique | Nakayama's lemma argument
t_nice_names | technique | Nice names
t_p_names | technique | P-names
t_partition_of_unity_technique | technique | Partition of unity technique
t_picard_iteration | technique | picard_iteration
t_polyhedral_geometry_of_partitions | technique | Polyhedral geometry of partitions
t_power_iteration | technique | Power Iteration
t_product_all_l_functions_mod_m | technique | Product of all L-functions mod m
t_rayleigh_quotient_iteration | technique | Rayleigh Quotient Iteration
t_reflection_method | technique | Reflection method for Sobolev extension
t_reflection_principle_andre | technique | Reflection principle (André)
t_shoenfield_tree | technique | Shoenfield tree
t_simultaneous_iteration | technique | Simultaneous Iteration (Subspace Iteration)
t_smooth_partition_of_unity | technique | Smooth partition of unity
t_solovay_model_construction | technique | Solovay's model construction via Lévy collapse
t_square_sieve | technique | Square sieve (Heath-Brown)
t_stationary_phase | technique | Stationary phase method
t_stationary_phase_method | technique | Method of Stationary Phase
t_stationary_scattering_theory | technique | Stationary scattering theory
t_stepping_up_ramsey | technique | Stepping-up technique
t_suslin_operation | technique | Suslin operation 𝒜
t_tree_decomposition_technique | technique | Tree-decomposition dynamic programming
t_tube_lemma_argument | technique | Tube lemma argument
t_two_step_iteration | technique | Two-step iteration P∗Q̇
t_ultrapower_Ult_V_U | technique | Ultrapower Ult(V,U)
t_universal_property_argument | technique | Universal property argument
t_verma_module_induction | technique | Verma module construction by parabolic induction
t_vertex_exposure_martingale | technique | Vertex exposure martingale
