s_euclidean_plane | axiom | Euclidean plane ℝ²
s_functional_equation_artin_l | theorem | Functional equation for Artin L-functions
s_analytic_continuation_hecke_l | theorem | Analytic continuation of Hecke L-functions
s_haar_measure_ideles | axiom | Haar measure on idèles
s_inertia_invariant_subspace | state | Inertia-invariant subspace V^{I_𝔭}
s_dirichlet_theorem_primes_number_fields | theorem | Dirichlet's theorem on primes in number fields
t_logarithmic_embedding | technique | Logarithmic embedding (Dirichlet map)
t_minkowski_lattice_point_argument | technique | Minkowski's lattice point argument
t_ideal_norm_reduction | technique | Ideal norm reduction
t_hensel_lifting | technique | Hensel lifting
t_dimension_shifting_cohomology | technique | Dimension shifting in group cohomology
t_herbrand_quotient_computation | technique | Herbrand quotient computation
t_cup_product_technique | technique | Cup product pairing technique
t_reduction_to_sylow | technique | Reduction to Sylow subgroups in cohomology
t_lubin_tate_construction | technique | Lubin–Tate formal group construction
t_brauer_induction | technique | Brauer induction
t_tate_thesis_adelic | technique | Tate's thesis (adelic zeta integrals)
t_transfer_homomorphism | technique | Transfer (Verlagerung) homomorphism
t_poisson_summation_number_field | technique | Poisson summation in number field setting
s_pro_p_group | axiom | Pro-p group ;; pro-p-group ;; p-profinite group
s_cm_field | axiom | Complex multiplication (CM) field ;; CM field
s_linear_algebraic_group | axiom | Linear algebraic group ;; algebraic group
s_semi_simple_algebraic_group | axiom | Semi-simple algebraic group ;; semisimple algebraic group
s_simply_connected_algebraic_group | axiom | Simply connected algebraic group ;; simply connected semisimple group
s_restricted_topological_product | axiom | Restricted topological product (restricted direct product) ;; restricted direct product ;; restricted product
s_group_homology | state | Group homology H_n(G, M) ;; homology of groups
s_absolute_galois_group | state | Absolute Galois group Gal(K^sep/K) ;; absolute Galois group
s_supernatural_number | state | Supernatural number ;; Steinitz number
s_free_profinite_group | state | Free profinite group
s_continuous_cohomology_profinite | state | Continuous cohomology of profinite groups ;; profinite group cohomology ;; Galois cohomology
s_cm_type | state | CM type
s_abelian_variety_with_cm | state | Abelian variety with complex multiplication ;; CM abelian variety
s_reflex_field | state | Reflex field (reflex CM type) ;; reflex CM type ;; dual CM type
s_algebraic_hecke_character | state | Algebraic Hecke character (Grössencharakter of type A₀) ;; algebraic Grössencharakter ;; type A₀ Hecke character
s_l_extension | state | ℓ-extension ;; l-extension ;; p-extension
s_z_l_extension | state | ℤ_ℓ-extension ;; Z_l-extension ;; Z_p-extension
s_global_zeta_integral_tate | state | Global zeta integral (Tate) ;; Tate's global zeta function
s_quasi_character | state | Quasi-character of K_v* ;; quasi-character
s_self_dual_measure | state | Self-dual Haar measure ;; self-dual measure
s_kroneckers_jugendtraum | state | Kronecker's Jugendtraum ;; Kronecker's youth dream ;; Hilbert's 12th problem (partial)
s_kneser_tits_conjecture | state | Kneser–Tits conjecture ;; Kneser–Tits problem
s_golod_shafarevich_theorem | theorem | Golod–Shafarevich theorem ;; Golod–Šafarevič theorem ;; Golod–Shafarevich inequality
s_existence_infinite_class_field_towers | theorem | Existence of infinite class field towers
s_hasse_principle_algebraic_groups | theorem | Hasse principle for algebraic groups (Kneser–Harder) ;; Kneser–Harder theorem
s_strong_approximation_algebraic_groups | theorem | Strong approximation for algebraic groups
s_main_theorem_complex_multiplication | theorem | Main theorem of complex multiplication ;; Shimura–Taniyama reciprocity for CM
s_serre_tate_good_reduction_cm | theorem | Serre–Tate theorem (good reduction of CM abelian varieties)
s_iwasawa_class_number_theorem | theorem | Iwasawa's theorem on class numbers in ℤ_p-extensions ;; Iwasawa class number formula
s_local_functional_equation_tate | theorem | Local functional equation (Tate)
s_global_functional_equation_tate | theorem | Global functional equation (Tate's thesis)
s_l_function_euler_product_local | theorem | Decomposition of L-functions into local zeta integrals ;; Euler product from local factors
s_global_local_compatibility_reciprocity | theorem | Global–local compatibility of reciprocity maps ;; compatibility of local and global Artin maps
s_hilbert_different_formula | theorem | Hilbert's different formula ;; Hilbert's formula for the different
s_first_inequality_cft | theorem | First inequality (global class field theory) ;; first inequality
s_second_inequality_cft | theorem | Second inequality (global class field theory) ;; second inequality
s_krull_theorem_infinite_galois | theorem | Krull's theorem (infinite Galois theory) ;; fundamental theorem of infinite Galois theory
s_herbrand_theorem_upper_numbering | theorem | Herbrand's theorem (upper numbering of ramification groups) ;; Herbrand's upper numbering theorem
t_bar_resolution | technique | Standard complex (bar resolution)
t_cohomology_of_ideles | technique | Cohomology of idèles (local-to-global reduction)
t_lyndon_hochschild_serre_spectral_sequence | technique | Lyndon–Hochschild–Serre spectral sequence
s_projective_modules_over_dedekind_domains | theorem | Projective modules over Dedekind domains
s_non_archimedean_absolute_value | axiom | Non-archimedean absolute value
s_trace_form | axiom | Trace form
s_different_ramification_theorem | theorem | Different–ramification theorem
s_discriminant_ramification_theorem | theorem | Discriminant–ramification theorem
s_ring_of_integers_of_cyclotomic_field | theorem | Ring of integers of cyclotomic fields
s_ramification_in_cyclotomic_fields | theorem | Ramification in cyclotomic fields
s_gauss_sum_norm_formula | theorem | Gauss sum norm formula
s_stickelberger_element | state | Stickelberger element
t_volume_computation_fundamental_domain | technique | Volume computation of fundamental domain
s_counting_ideals_of_bounded_norm | theorem | Counting ideals of bounded norm
t_lattice_points_in_expanding_domains | technique | Lattice points in homogeneously expanding domains
s_content_map | state | Content (idèle norm) map
s_compactness_of_c_k_1 | theorem | Compactness of C_K^1
s_idele_class_group_ray_class_group_relationship | theorem | Relationship between idèle class group and ray class groups
s_galois_action_on_ideles | state | Galois action on idèles
s_convergence_and_euler_product_for_dedekind_zeta | theorem | Convergence and Euler product for ζ_K
s_faltings_finiteness_theorem | theorem | Faltings’ finiteness theorem (Shafarevich conjecture)
s_local_norm_group | state | Local norm group
s_local_norm_index_theorem | theorem | Local norm index theorem
t_p_adic_exponential_and_logarithm | technique | p-adic exponential and logarithm
s_structure_of_local_units | theorem | Structure of local units
s_global_cyclic_norm_index | theorem | Global cyclic norm index inequality
s_takagi_existence_theorem | theorem | Takagi’s existence theorem
s_conductor_class_field_relationship | theorem | Conductor–class field relationship
s_existence_theorem_of_cft | theorem | Existence theorem of class field theory
t_reduction_to_kummer_extensions | technique | Reduction to Kummer extensions
s_complete_splitting_theorem | theorem | Complete splitting theorem
s_ramification_theorem_cft | theorem | Ramification theorem (class field theory)
s_infinite_divisibility_of_universal_norms | theorem | Infinite divisibility of universal norms
s_induced_character_l_series_factorization | theorem | Induced character and L-series factorization
s_local_additive_duality | theorem | Local additive duality (self-duality of K_v)
t_dirichlet_integral_technique | technique | Dirichlet integral
s_tauberian_theorem_for_dirichlet_series | theorem | Tauberian theorem for Dirichlet series
s_nonvanishing_l1_hecke_characters | theorem | Non-vanishing of L(1, χ) for Hecke characters
s_dirichlet_as_special_case_of_chebotarev | theorem | Dirichlet’s theorem as special case of Chebotarev
s_upper_estimate_residue_zeta_k | theorem | Upper estimate for residue of ζ_K at s = 1
s_siegel_lower_bound_residue | theorem | Siegel’s lower bound for the residue
t_comparison_of_residues_in_normal_extensions | technique | Comparison of residues in normal extensions
s_weierstrass_product_for_completed_l_function | state | Weierstrass product for completed L-function
t_logarithmic_derivative_xi | technique | Logarithmic derivative ξ’/ξ
s_estimate_for_xi_prime_over_xi | theorem | Estimate for ξ’/ξ
s_weil_positivity_criterion | theorem | Weil’s positivity criterion
t_evaluation_of_basic_sum_part_1 | technique | Evaluation of basic sum (Part 1)
t_evaluation_of_basic_sum_part_2 | technique | Evaluation of basic sum (Part 2)
s_characteristic_of_a_field | axiom | Characteristic of a field
s_cyclicity_of_fq_star | theorem | Cyclicity of F_q*
t_character_sum_counting_solutions | technique | Character sum method for counting solutions
s_p_adic_units | axiom | Units of Z_p
s_compactness_of_z_p | theorem | Compactness of Z_p
s_structure_of_qp_star | theorem | Structure of Q_p*
s_squares_in_qp_star | theorem | Squares in Q_p*
s_density_of_q_in_qp | theorem | Density of Q in Q_p
s_hilbert_symbol_at_infinity | axiom | Hilbert symbol at the archimedean place
s_hilbert_symbol_properties | theorem | Bilinearity and non-degeneracy of the Hilbert symbol
s_hilbert_symbol_computation_odd_p | theorem | Hilbert symbol computation for odd p
s_existence_theorem_prescribed_hilbert_symbols | theorem | Existence theorem for prescribed Hilbert symbols
s_discriminant_of_quadratic_form | axiom | Discriminant of a quadratic form
s_hasse_witt_invariant | axiom | Hasse–Witt invariant
s_isotropic_quadratic_form | axiom | Isotropic quadratic form
s_witt_decomposition | theorem | Witt decomposition
s_classification_quadratic_forms_qp | theorem | Classification of quadratic forms over Q_p
s_representation_theorem_qp | theorem | Representation theorem for quadratic forms over Q_p
s_classification_quadratic_forms_q | theorem | Classification of quadratic forms over Q
t_hasse_invariant_computation | technique | Hasse invariant computation
s_unimodular_lattice | axiom | Unimodular lattice
s_even_type_ii_lattice | axiom | Even (type II) lattice
s_odd_type_i_lattice | axiom | Odd (type I) lattice
s_signature_of_real_quadratic_form | axiom | Signature of a real quadratic form
s_e8_lattice | axiom | E_8 lattice
s_classification_even_unimodular_lattices | theorem | Classification of even unimodular lattices
s_classification_indefinite_unimodular_lattices | theorem | Classification of indefinite unimodular lattices
s_genus_of_integral_quadratic_form | axiom | Genus of an integral quadratic form
s_genus_determines_rational_equivalence | theorem | Genus determines rational equivalence
t_local_to_global_lattices | technique | Local-to-global passage for lattices
s_character_of_finite_abelian_group | axiom | Character of a finite abelian group
s_modular_function | axiom | Modular function
s_q_expansion_modular_form | axiom | Fourier expansion (q-expansion) of a modular form
s_valence_formula_modular_forms | theorem | Valence formula for modular forms
s_decomposition_mk_eisenstein_cusp | theorem | Decomposition M_k = C·E_k ⊕ S_k
s_algebra_of_modular_forms | theorem | Structure of the algebra of modular forms
s_delta_eisenstein_relation | theorem | Relation Δ = (E_4³ − E_6²)/1728
s_hecke_operators_self_adjoint | theorem | Hecke operators are self-adjoint
s_ramanujan_tau_multiplicativity | theorem | Multiplicativity of the Ramanujan tau function
s_theta_function_is_modular_form | theorem | Theta function of a quadratic form is a modular form
s_representation_numbers_via_modular_forms | axiom | Representation numbers via modular forms
s_eight_squares_formula | theorem | Eight squares formula
s_modular_form_fourier_coefficient_bound | theorem | Growth bound for Fourier coefficients of modular forms
t_contour_integration_valence | technique | Contour integration on the fundamental domain
t_poisson_summation_for_theta | technique | Poisson summation for theta functions
t_hecke_eigenform_method | technique | Hecke eigenform method
s_farey_sequence | axiom | Farey sequence F_n ;; Farey series
s_mediant | axiom | Mediant of two fractions ;; Farey mediant ;; freshman sum
s_normal_number | axiom | Normal number
s_simply_normal_number | axiom | Simply normal number
s_absolutely_normal_number | axiom | Absolutely normal number
s_badly_approximable_number | axiom | Badly approximable number ;; bounded partial quotients
s_durfee_square | axiom | Durfee square
s_stern_brocot_tree | axiom | Stern–Brocot tree ;; Stern-Brocot tree ;; Calkin-Wilf tree
s_visible_lattice_point_density | state | Density of visible lattice points ;; coprimality probability
s_fibonacci_golden_ratio_convergents | state | Fibonacci numbers as convergents of the golden ratio
s_failure_of_ufd_in_z_sqrt_neg5 | state | Failure of unique factorization in ℤ[√(−5)]
s_hurwitz_sharpness_sqrt5 | state | Sharpness of √5 in Hurwitz's theorem
s_waring_g_k_lower_bound | state | Lower bound for g(k) in Waring's problem
s_waring_G_k_lower_bounds | state | Lower bounds for G(k) in Waring's problem
s_farey_neighbor_theorem | theorem | Farey neighbor property
s_farey_mediant_theorem | theorem | Farey mediant property
s_borel_normal_number_theorem | theorem | Borel's normal number theorem ;; Borel's theorem on normal numbers
s_kempner_series_convergence | theorem | Kempner series convergence ;; Kempner's series
s_lagrange_periodic_cf_theorem | theorem | Lagrange's periodic continued fraction theorem ;; Lagrange's theorem on continued fractions
s_galois_purely_periodic_cf_theorem | theorem | Galois's theorem on purely periodic continued fractions
s_leudesdorf_theorem | theorem | Leudesdorf's theorem
s_bauer_identical_congruence | theorem | Bauer's identical congruence
s_kronecker_approximation_theorem | theorem | Kronecker's approximation theorem ;; Kronecker's theorem
s_kronecker_simultaneous_approximation | theorem | Kronecker's simultaneous approximation theorem ;; Kronecker's theorem in k dimensions
s_rogers_ramanujan_continued_fraction | theorem | Rogers–Ramanujan continued fraction ;; Ramanujan's continued fraction
s_euclidean_quadratic_fields_classification | theorem | Classification of Euclidean quadratic fields
s_minkowski_theorem_linear_forms | theorem | Minkowski's theorem on linear forms
s_tchebotaref_inhomogeneous_form_theorem | theorem | Tchebotaref's theorem on inhomogeneous forms ;; Chebotarev's theorem on forms
t_quaternion_norm_descent | technique | Quaternion norm descent
t_durfee_square_decomposition | technique | Durfee square decomposition
t_franklin_involution | technique | Franklin's involution
t_lettenmeyer_kronecker_proof | technique | Lettenmeyer's proof of Kronecker's theorem ;; Estermann's proof
t_elliptic_curve_chord_tangent_addition | technique | Chord-and-tangent addition on elliptic curves ;; elliptic curve group law
s_polygonal_number | axiom | Polygonal number p_m(k)
s_cauchy_polygonal_number_theorem | theorem | Cauchy’s polygonal number theorem
s_cauchy_lemma_polygonal | theorem | Cauchy’s lemma (polygonal numbers)
s_pepin_five_pentagonal_theorem | theorem | Pépin’s theorem on five pentagonal numbers
s_waring_g_function | axiom | Waring’s function g(k)
s_waring_G_function | axiom | Asymptotic Waring function G(k)
s_wieferich_kempner_theorem | theorem | Wieferich–Kempner theorem (g(3) = 9)
s_linnik_seven_cubes | theorem | Linnik’s theorem on sums of seven cubes (G(3) ≤ 7)
s_sums_two_cubes_impossibility | state | Impossibility of representing all integers as sums of few cubes
s_ideal_waring_conjecture | state | Ideal Waring conjecture
t_hilbert_multilinear_identity_proof | technique | Hilbert’s proof via multilinear identities
t_schur_trick | technique | Schur’s trick
s_stridsberg_improvement | theorem | Stridsberg’s improvement of Hilbert’s bound
t_dress_simplification | technique | Dress’s simplification of Hilbert’s proof
s_hurwitz_identity_sums_of_squares | state | Hurwitz identity for sums of squares
s_weyl_inequality | theorem | Weyl’s inequality
t_hua_iterative_squaring | technique | Hua’s lemma proof by iterative squaring
s_singular_series_waring | state | Singular series S(n) for Waring’s problem
s_singular_integral_waring | axiom | Singular integral J(n) for Waring’s problem
s_positivity_singular_series | theorem | Positivity of the singular series for Waring’s problem
s_complete_exponential_sum_mod_q | axiom | Complete exponential sum mod q
t_pruning | technique | Pruning (circle method)
s_local_solubility_condition | state | Local solubility condition for Waring’s problem
s_three_prime_asymptotic_formula | theorem | Asymptotic formula for three-prime representations
t_major_arc_approximation_prime_sums | technique | Major arc approximation for prime exponential sums
s_goldbach_exceptional_set | state | Goldbach exceptional set
s_vinogradov_bound_G_k | theorem | Vinogradov’s bound on G(k)
s_easy_waring_problem | axiom | Easy Waring problem
s_segre_mahler_wright_theorem | theorem | Segre–Mahler–Wright theorem
t_efficient_differencing | technique | Efficient differencing (Vinogradov–Wooley)
s_davenport_G4_equals_15 | theorem | Davenport’s theorem G(4) = 15
s_G2_equals_4 | theorem | G(2) = 4
s_wooley_refinement | theorem | Wooley’s refinement of Vinogradov’s mean value theorem
s_asymptotic_basis | axiom | Asymptotic basis of order h
s_schnirelmann_theorem_primes | theorem | Schnirelmann’s theorem (primes form an additive basis)
s_schnirelmann_inequality | theorem | Schnirelmann’s inequality
s_mann_theorem | theorem | Mann’s theorem
s_khinchin_addition_theorem | theorem | Khinchin’s addition theorem
s_essential_component | axiom | Essential component
s_primes_essential_component | theorem | Primes are an essential component
s_khinchin_essential_components_theorem | theorem | Khinchin’s theorem on essential components
s_erdos_essential_components_theorem | theorem | Erdős’s theorem on essential components
t_mann_sequential_addition | technique | Mann’s proof via sequential addition
s_selberg_sieve_goldbach | state | Selberg sieve applied to Goldbach
s_romanov_theorem | theorem | Romanov’s theorem
s_dickson_pillai_result | theorem | Dickson–Pillai theorem on g(k)
s_balasubramanian_deshouillers_dress_theorem | theorem | Balasubramanian–Deshouillers–Dress theorem (g(4) = 19)
s_multiplicativity_singular_series | state | Euler product for the singular series
s_hua_theorem_cubes_of_primes | theorem | Hua’s theorem on sums of cubes of primes
s_waring_problem_for_primes | state | Waring’s problem for primes (Waring–Goldbach problem)
t_davenport_heilbronn_method | technique | Davenport–Heilbronn method
s_representation_function_polygonal | axiom | Representation function for polygonal numbers
s_representation_function_waring | axiom | Representation function r_{s,k}(n)
s_liouville_identity_four_squares | state | Liouville’s identity (sums of squares)
s_quadratic_forms_and_squares | state | Connection between quadratic forms and sums of squares
s_h_fold_sumset | axiom | h-fold sumset hA
s_h_fold_representation_function | axiom | h-fold representation function r_{A,h}(n)
s_counting_function_A_n | axiom | Counting function A(n)
t_schnirelmann_original_density_argument | technique | Schnirelmann’s original density argument
s_generating_function_waring | axiom | Generating function for Waring’s problem
s_p_adic_solubility | state | p-adic solubility for Waring’s problem
s_minor_arc_estimate_waring | state | Minor arc estimate for Waring’s problem
s_minor_arc_estimate_three_primes | state | Minor arc estimate for the three-primes problem
s_major_arc_contribution_waring | state | Major arc contribution for Waring’s problem
s_four_cubes_impossibility | state | Four cubes impossibility modulo 9
s_23_and_239_require_9_cubes | state | 23 and 239 require nine cubes
t_descent_four_squares | technique | Descent method for four squares
t_linnik_elementary_method | technique | Linnik’s elementary method for sums of cubes
s_subgroup | axiom | Subgroup
s_normal_subgroup | axiom | Normal subgroup
s_quotient_group | axiom | Quotient group
s_index_of_a_subgroup | axiom | Index of a subgroup
s_center_of_a_group | axiom | Center of a group
s_centralizer | axiom | Centralizer
s_normalizer | axiom | Normalizer
s_commutator_subgroup | axiom | Commutator subgroup
s_pgroup | axiom | p-group
s_sylow_psubgroup | axiom | Sylow p-subgroup
s_group_presentation | axiom | Group presentation
s_orbit_of_a_group_action | axiom | Orbit of a group action
s_stabilizer_of_a_group_action | axiom | Stabilizer of a group action
s_conjugacy_class | axiom | Conjugacy class
s_exponent_of_a_group | axiom | Exponent of a group
s_lower_central_series | state | Lower central series
s_upper_central_series | state | Upper central series
s_fitting_subgroup | state | Fitting subgroup
s_socle_of_a_group | state | Socle of a group
s_automorphism_group_of_a_group | state | Automorphism group of a group
s_inner_automorphism_group | state | Inner automorphism group
s_outer_automorphism_group | state | Outer automorphism group
s_lagranges_theorem_group_theory | theorem | Lagrange's theorem (group theory)
s_second_isomorphism_theorem_for_groups | theorem | Second isomorphism theorem for groups
s_third_isomorphism_theorem_for_groups | theorem | Third isomorphism theorem for groups
s_lattice_isomorphism_theorem_for_groups | theorem | Lattice isomorphism theorem for groups
s_sylows_first_theorem | theorem | Sylow's first theorem
s_sylows_second_theorem | theorem | Sylow's second theorem
s_sylows_third_theorem | theorem | Sylow's third theorem
s_fittings_theorem_on_fitting_subgroup | theorem | Fitting's theorem on Fitting subgroup
t_sylow_theory_argument | technique | Sylow theory argument
t_counting_via_group_actions | technique | Counting via group actions
t_composition_series_analysis | technique | Composition series analysis
s_ideal_of_a_ring | axiom | Ideal (of a ring)
s_quotient_ring | axiom | Quotient ring
s_nilpotent_element | axiom | Nilpotent element
s_nilradical_of_a_ring | state | Nilradical of a ring
s_jacobson_radical_of_a_ring | state | Jacobson radical of a ring
s_fraction_field | state | Fraction field
s_group_of_units | state | Group of units
s_first_isomorphism_theorem_for_rings | theorem | First isomorphism theorem for rings
s_every_maximal_ideal_is_prime | theorem | Every maximal ideal is prime
s_every_pid_is_a_ufd | theorem | Every PID is a UFD
s_euclidean_domain_is_a_pid | theorem | Euclidean domain is a PID
s_zorns_lemma_implies_maximal_ideals_exist | theorem | Zorn's lemma implies maximal ideals exist
s_nilradical_equals_intersection_of_primes | theorem | Nilradical equals intersection of primes
s_gausss_lemma_content_of_polynomials | theorem | Gauss's lemma (content of polynomials)
s_eisensteins_irreducibility_criterion | theorem | Eisenstein's irreducibility criterion
s_polynomial_ring_over_ufd_is_ufd | theorem | Polynomial ring over UFD is UFD
s_module_over_a_ring | axiom | Module over a ring
s_submodule | axiom | Submodule
s_quotient_module | axiom | Quotient module
s_projective_module | axiom | Projective module
s_exact_sequence | axiom | Exact sequence
s_short_exact_sequence | axiom | Short exact sequence
s_length_of_a_module | state | Length of a module
s_bimodule | axiom | Bimodule
s_cokernel_of_a_module_homomorphism | state | Cokernel of a module homomorphism
s_structure_theorem_for_modules_over_a_pid | theorem | Structure theorem for modules over a PID
s_characterization_of_projective_modules | theorem | Characterization of projective modules
s_baers_criterion_for_injectivity | theorem | Baer's criterion for injectivity
s_every_module_embeds_in_an_injective_module | theorem | Every module embeds in an injective module
s_schanuels_lemma | theorem | Schanuel's lemma
s_eilenberg_swindle | theorem | Eilenberg swindle
s_jordanholder_theorem_for_modules | theorem | Jordan-Hölder theorem for modules
t_localization_of_modules | technique | Localization of modules
t_diagram_chasing | technique | Diagram chasing
t_nakayamas_lemma_argument | technique | Nakayama's lemma argument
s_content_of_a_polynomial | axiom | Content of a polynomial
s_primitive_polynomial | axiom | Primitive polynomial
s_symmetric_polynomial | axiom | Symmetric polynomial
s_power_sum_symmetric_polynomials | state | Power sum symmetric polynomials
s_resultant_of_two_polynomials | state | Resultant of two polynomials
s_discriminant_of_a_polynomial | state | Discriminant of a polynomial
s_newtons_identities | theorem | Newton's identities
s_minimal_polynomial | axiom | Minimal polynomial
s_algebraic_extension | axiom | Algebraic extension
s_separable_extension | axiom | Separable extension
s_purely_inseparable_extension | axiom | Purely inseparable extension
s_separable_degree | state | Separable degree
s_inseparable_degree | state | Inseparable degree
s_finite_field | axiom | Finite field
s_existence_and_uniqueness_of_finite_fields | theorem | Existence and uniqueness of finite fields
s_frobenius_generates_galois_group_of_finite_field | theorem | Frobenius generates Galois group of finite field
s_galois_extension | axiom | Galois extension
s_fixed_field | axiom | Fixed field
s_radical_extension | axiom | Radical extension
s_krull_topology | axiom | Krull topology
s_artins_lemma_on_fixed_fields | theorem | Artin's lemma on fixed fields
s_dedekinds_independence_of_characters | theorem | Dedekind's independence of characters
s_hilberts_theorem_90_additive_form | theorem | Hilbert's Theorem 90 (additive form)
s_kummer_theory_classification | theorem | Kummer theory classification
s_solvability_by_radicals_criterion | theorem | Solvability by radicals criterion
s_infinite_galois_correspondence | theorem | Infinite Galois correspondence
t_galois_correspondence_method | technique | Galois correspondence method
t_kummer_theory_technique | technique | Kummer theory technique
t_radical_extension_analysis | technique | Radical extension analysis
s_integral_element_over_a_ring | axiom | Integral element over a ring
s_integrally_closed_domain | axiom | Integrally closed domain
s_noetherian_ring | axiom | Noetherian ring
s_jacobson_ring | axiom | Jacobson ring
s_integrality_is_transitive | theorem | Integrality is transitive
s_incomparability_theorem | theorem | Incomparability theorem
s_hilberts_nullstellensatz_weak_form | theorem | Hilbert's Nullstellensatz (weak form)
s_hilberts_nullstellensatz_strong_form | theorem | Hilbert's Nullstellensatz (strong form)
s_fractional_ideals_of_dedekind_domains_are_invertible | theorem | Fractional ideals of Dedekind domains are invertible
s_krulls_intersection_theorem | theorem | Krull's intersection theorem
t_goingupgoingdown_method | technique | Going-up/going-down method
t_noether_normalization_technique | technique | Noether normalization technique
s_algebraic_independence | axiom | Algebraic independence
s_purely_transcendental_extension | axiom | Purely transcendental extension
s_linearly_disjoint_extensions | axiom | Linearly disjoint extensions
s_separably_generated_extension | axiom | Separably generated extension
s_module_of_kahler_differentials | axiom | Module of Kähler differentials
s_derivation_on_an_algebra | axiom | Derivation on an algebra
s_transcendence_degree_is_welldefined | theorem | Transcendence degree is well-defined
s_luroths_theorem | theorem | Lüroth's theorem
s_mac_lanes_separability_criterion | theorem | Mac Lane's separability criterion
s_first_exact_sequence_of_kahler_differentials | theorem | First exact sequence of Kähler differentials
s_second_exact_sequence_of_kahler_differentials | theorem | Second exact sequence of Kähler differentials
s_affine_algebraic_set | axiom | Affine algebraic set
s_coordinate_ring_of_an_algebraic_set | state | Coordinate ring of an algebraic set
s_irreducible_algebraic_set | axiom | Irreducible algebraic set
s_function_field_of_a_variety | state | Function field of a variety
s_nullstellensatz_correspondence | theorem | Nullstellensatz correspondence
s_dimension_equals_transcendence_degree | theorem | Dimension equals transcendence degree
s_reduced_trace | state | Reduced trace
s_reduced_norm | state | Reduced norm
s_index_of_a_central_simple_algebra | state | Index of a central simple algebra
s_tensor_product_of_central_simple_algebras | theorem | Tensor product of central simple algebras
s_brauer_group_is_torsion | theorem | Brauer group is torsion
s_representation_of_a_group | axiom | Representation of a group
s_mackey_decomposition_formula | theorem | Mackey decomposition formula
s_mackey_irreducibility_criterion | theorem | Mackey irreducibility criterion
t_character_table_computation | technique | Character table computation
t_frobenius_reciprocity_method | technique | Frobenius reciprocity method
s_general_linear_group | axiom | General linear group
s_special_linear_group | axiom | Special linear group
s_orthogonal_group | axiom | Orthogonal group
s_unitary_group | axiom | Unitary group
s_parabolic_subgroup | axiom | Parabolic subgroup
s_elementary_matrix | axiom | Elementary matrix
s_sl_n_generated_by_elementary_matrices | theorem | SL_n generated by elementary matrices
s_psl_2f_q_is_simple | theorem | PSL_2(F_q) is simple
s_bilinear_form | axiom | Bilinear form
s_quadratic_form | axiom | Quadratic form
s_nondegenerate_bilinear_form | axiom | Non-degenerate bilinear form
s_hyperbolic_plane | axiom | Hyperbolic plane
s_anisotropic_form | axiom | Anisotropic form
s_witt_index | state | Witt index
s_witt_ring | state | Witt ring
s_even_clifford_algebra | state | Even Clifford algebra
s_pfaffian | state | Pfaffian
s_witts_cancellation_theorem | theorem | Witt's cancellation theorem
s_witt_decomposition_theorem | theorem | Witt decomposition theorem
s_sylvesters_law_of_inertia | theorem | Sylvester's law of inertia
s_structure_of_clifford_algebras | theorem | Structure of Clifford algebras
s_every_alternating_form_has_even_rank | theorem | Every alternating form has even rank
s_minimal_polynomial_of_a_linear_map | state | Minimal polynomial of a linear map
s_adjoint_functor_pair | axiom | Adjoint functor pair
s_representable_functor | axiom | Representable functor
s_additive_category | axiom | Additive category
s_product_of_objects_in_a_category | axiom | Product of objects in a category
s_coproduct_of_objects_in_a_category | axiom | Coproduct of objects in a category
s_direct_limit_filtered_colimit | axiom | Direct limit (filtered colimit)
s_inverse_limit | axiom | Inverse limit
s_left_exact_functor | axiom | Left exact functor
s_right_exact_functor | axiom | Right exact functor
s_exact_functor | axiom | Exact functor
s_projective_resolution | axiom | Projective resolution
s_injective_resolution | axiom | Injective resolution
s_enough_projectives | axiom | Enough projectives
s_enough_injectives | axiom | Enough injectives
s_hom_is_left_exact | theorem | Hom is left exact
s_tensor_is_right_exact | theorem | Tensor is right exact
s_comparison_theorem_for_resolutions | theorem | Comparison theorem for resolutions
s_horseshoe_lemma | theorem | Horseshoe lemma
s_long_exact_sequence_from_short_exact_sequence_of_complexes | theorem | Long exact sequence from short exact sequence of complexes
s_nine_lemma_33_lemma | theorem | Nine lemma (3×3 lemma)
s_group_extension | axiom | Group extension
s_factor_set_2cocycle | state | Factor set (2-cocycle)
s_corestriction_transfer_map | state | Corestriction (transfer) map
s_cup_product_in_group_cohomology | state | Cup product in group cohomology
s_crossed_homomorphism | axiom | Crossed homomorphism
s_h_classifies_group_extensions | theorem | H² classifies group extensions
s_herbrand_quotient_is_multiplicative | theorem | Herbrand quotient is multiplicative
s_cohomology_of_cyclic_groups_is_periodic | theorem | Cohomology of cyclic groups is periodic
s_left_derived_functor | axiom | Left derived functor
s_right_derived_functor | axiom | Right derived functor
s_universal_functor | axiom | Universal δ-functor
s_effaceable_functor | axiom | Effaceable functor
s_projective_dimension | state | Projective dimension
s_injective_dimension | state | Injective dimension
s_global_dimension_of_a_ring | state | Global dimension of a ring
s_weak_flat_dimension | state | Weak (flat) dimension
s_ext_is_independent_of_resolution | theorem | Ext is independent of resolution
s_tor_is_independent_of_resolution | theorem | Tor is independent of resolution
s_long_exact_sequence_for_ext | theorem | Long exact sequence for Ext
s_long_exact_sequence_for_tor | theorem | Long exact sequence for Tor
s_ext_classifies_extensions | theorem | Ext¹ classifies extensions
s_tor_characterizes_flatness | theorem | Tor₁ characterizes flatness
s_grothendiecks_universality_theorem | theorem | Grothendieck's universality theorem
